archetype name,occurrence in the quarter,GFA in m²,NFA in m²,final energy heating in kWh/m²a,final energy hot water in kWh/m²a,final energy lighting in kWh/m²a,exterior walls area in m²,roof area in m²,foundation area in m²,number of windows,interior walls area in m²,ceilings area in m²,number of heating supply systems,energy carrier template,energy carrier ID,exterior walls template,window template,roof template,foundation template,interior walls template,ceilings template,heat supply system template,exterior walls ID,window ID,roof ID,foundation ID,interior walls ID,ceilings ID,heat supply system ID,building age class
SFH12AS,104,220.0,187.0,29.1,11.0,0.365,227.6,131.9,107.8,13,0.0,131.9,1,Gas Brennwert < 20 kW,16978,Außenwand 8,Fenster 1,Dach 13,Boden 12,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525083,2519026,2518178,2526818,,2526805,,as of 2016
MFH4UR,44,743.53,632.0,90.9,27.2,0.365,462.0,355.0,355.0,31,0.0,710.0,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 1,Fenster 2,Dach 1,Boden 1,Outside the scope of the study,Zwischendecke 1,Outside the scope of the study,2525054,2519027,2518142,2526808,,2526793,,1949-1957
MFH4AR,38,743.53,632.0,35.0,17.2,0.365,462.0,355.0,355.0,31,0.0,710.0,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 2,Fenster 1,Dach 2,Boden 2,Outside the scope of the study,Zwischendecke 2,Outside the scope of the study,2525058,2519026,2518145,2526822,,2526796,,1949-1957
MFH5AR,50,3681.18,3129.0,27.3,17.2,0.365,2039.0,971.1,971.1,159,0.0,2913.2,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 2,Fenster 1,Dach 3,Boden 2,Outside the scope of the study,Zwischendecke 2,Outside the scope of the study,2525058,2519026,2518148,2526822,,2526796,,1958-1968
MFH4ES,233,743.53,632.0,247.0,57.8,0.365,462.0,355.0,355.0,31,0.0,710.0,1,"Gas Niedertemperatur (120 - 400 kW, entspr. EnEV)",15596,Außenwand 3,Fenster 3,Dach 4,Boden 3,Outside the scope of the study,Zwischendecke 1,Outside the scope of the study,2525062,2519028,2518151,2526825,,2526793,,1949-1957
MFH2ES,5,367.06,312.0,219.6,57.8,0.365,146.0,102.8,102.8,17,0.0,411.2,1,"Gas Niedertemperatur (20 - 120 kW, entspr. EnEV)",15597,Außenwand 4,Fenster 4,Dach 5,Boden 4,Outside the scope of the study,Zwischendecke 3,Outside the scope of the study,2525066,2519029,2518154,2526828,,2526799,,1860-1918
MFH3ES,44,452.94,385.0,279.3,57.8,0.365,323.5,158.5,158.5,22,0.0,317.0,1,"Gas Niedertemperatur (20 - 120 kW, entspr. EnEV)",15597,Außenwand 4,Fenster 3,Dach 6,Boden 5,Outside the scope of the study,Zwischendecke 4,Outside the scope of the study,2525066,2519028,2518158,2526831,,2526802,,1919-1948
MFH5ES,66,3681.18,3129.0,179.0,57.8,0.365,2039.0,971.1,971.1,159,0.0,2913.3,1,"Gas Niedertemperatur (120 - 400 kW, entspr. EnEV)",15596,Außenwand 3,Fenster 3,Dach 7,Boden 6,Outside the scope of the study,Zwischendecke 1,Outside the scope of the study,2525062,2519028,2518162,2526837,,2526793,,1958-1968
MFH6ES,111,551.76,469.0,188.1,57.8,0.365,336.0,216.7,216.7,25,0.0,650.1,1,"Gas Niedertemperatur (20 - 120 kW, entspr. EnEV)",15597,Außenwand 4,Fenster 3,Dach 7,Boden 7,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525066,2519028,2518162,2526840,,2526805,,1969-1978
MFH7ES,18,769.41,654.0,156.0,57.8,0.365,447.1,248.3,248.3,31,0.0,496.6,1,"Gas Niedertemperatur (120 - 400 kW, entspr. EnEV)",15596,Außenwand 3,Fenster 3,Dach 8,Boden 8,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525062,2519028,2518165,2526843,,2526805,,1979-1983
MFH8ES,16,915.29,778.0,163.0,57.8,0.365,774.8,249.4,249.4,50,0.0,498.8,1,"Gas Niedertemperatur (120 - 400 kW, entspr. EnEV)",15596,Außenwand 3,Fenster 3,Dach 9,Boden 9,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525062,2519028,2518168,2526846,,2526805,,1984-1994
MFH9ES,2,982.35,835.0,106.3,27.2,0.365,695.8,283.7,283.7,51,0.0,851.1,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 5,Fenster 3,Dach 10,Boden 1,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525071,2519028,2518171,2526808,,2526805,,1995-2001
MFH10ES,9,2576.47,2190.0,65.7,27.2,0.365,1698.0,580.0,619.5,96,0.0,1160.0,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 6,Fenster 3,Dach 11,Boden 10,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525075,2519028,2518174,2526811,,2526805,,2002-2009
MFH11ES,14,1535.29,1305.0,76.5,17.2,0.365,1193.2,321.1,321.1,76,0.0,1284.4,1,"Gas Brennwert (20 - 120 kW, entspr. EnEV)",15594,Außenwand 7,Fenster 2,Dach 12,Boden 11,Outside the scope of the study,Zwischendecke 5,Outside the scope of the study,2525079,2519027,2529324,2526814,,2526805,,2010-2015
